file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/37/sndLHC.Genie-TGeant4_dig.root, runId: 1752482971, local_event: 42, eventId: 1, earliest veto hit time: 0.76 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/38/sndLHC.Genie-TGeant4_dig.root, runId: 1752482975, local_event: 18, eventId: 1, earliest veto hit time: 0.89 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/38/sndLHC.Genie-TGeant4_dig.root, runId: 1752482975, local_event: 45, eventId: 1, earliest veto hit time: 0.75 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/40/sndLHC.Genie-TGeant4_dig.root, runId: 1752483036, local_event: 31, eventId: 1, earliest veto hit time: 1.00 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/40/sndLHC.Genie-TGeant4_dig.root, runId: 1752483036, local_event: 33, eventId: 1, earliest veto hit time: 0.49 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/43/sndLHC.Genie-TGeant4_dig.root, runId: 1752483015, local_event: 37, eventId: 1, earliest veto hit time: 0.89 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/44/sndLHC.Genie-TGeant4_dig.root, runId: 1752482995, local_event: 1, eventId: 1, earliest veto hit time: 0.82 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/44/sndLHC.Genie-TGeant4_dig.root, runId: 1752482995, local_event: 9, eventId: 1, earliest veto hit time: 0.80 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/44/sndLHC.Genie-TGeant4_dig.root, runId: 1752482995, local_event: 11, eventId: 1, earliest veto hit time: 0.71 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/44/sndLHC.Genie-TGeant4_dig.root, runId: 1752482995, local_event: 35, eventId: 1, earliest veto hit time: 0.81 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/45/sndLHC.Genie-TGeant4_dig.root, runId: 1752483020, local_event: 14, eventId: 1, earliest veto hit time: 0.80 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/45/sndLHC.Genie-TGeant4_dig.root, runId: 1752483020, local_event: 64, eventId: 1, earliest veto hit time: 0.87 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/46/sndLHC.Genie-TGeant4_dig.root, runId: 1752483025, local_event: 12, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/46/sndLHC.Genie-TGeant4_dig.root, runId: 1752483025, local_event: 19, eventId: 1, earliest veto hit time: 0.95 [ns]
